,Name,Album,Artist
0,Leave The Door Open,Leave The Door Open,Bruno Mars
1,Dynamite,Dynamite (DayTime Version),BTS
2,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa
3,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat
4,Perfect,÷ (Deluxe),Ed Sheeran
5,GIRL LIKE ME,GIRL LIKE ME,Black Eyed Peas
6,We Need Love - Cabu Remix,We Need Love (Cabu Remix),Cabu
7,Dance Monkey,Dance Monkey,Tones And I
8,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson
9,Sugar,V (Deluxe),Maroon 5
10,Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B),Maroon 5
11,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK
12,Useless,Useless,Two Friends
13,Roar,PRISM (Deluxe),Katy Perry
14,The Lazy Song,Doo-Wops & Hooligans,Bruno Mars
15,Thinking out Loud,x (Deluxe Edition),Ed Sheeran
16,damn i love the rain,damn i love the rain,Gabriella Zauna
17,Intentions (feat. Quavo),Changes,Justin Bieber
18,That's What I Like,24K Magic,Bruno Mars
19,Makes Me Feel This Way,Makes Me Feel This Way,Nairobi
20,Lean On (feat. MØ & DJ Snake),Peace Is The Mission : Extended,Major Lazer
21,Barcelona,Barcelona,Andra
22,Happy,Despicable Me 2 (Original Motion Picture Soundtrack),Various Artists
23,Hymn for the Weekend,A Head Full of Dreams,Coldplay
24,The Nights,Stories,Avicii
25,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
26,I Feel It Coming,Starboy,The Weeknd
27,No Lie,No Lie,Sean Paul
28,All of Me,Love In The Future (Expanded Edition),John Legend
29,Sweet Dreams - Radio Killer Remix,Sweet Dreams (Radio Killer Remix),Andra
30,Cheap Thrills (feat. Sean Paul),This Is Acting (Deluxe Version),Sia
31,Don't Start Now,Future Nostalgia,Dua Lipa
32,On The Floor,Love?,Jennifer Lopez
33,Closer,Closer,The Chainsmokers
34,The Real Slim Shady,The Marshall Mathers LP,Eminem
35,2002,2002,Anne-Marie
36,Sweater Weather,I Love You.,The Neighbourhood
37,Better,Better,Khalid
38,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira
39,Adventure of a Lifetime,A Head Full of Dreams,Coldplay
40,It's My Life,Crush,Bon Jovi
41,Yummy,Yummy,Justin Bieber
42,24K Magic,24K Magic,Bruno Mars
43,Physical,Future Nostalgia,Dua Lipa
44,Cover Me In Sunshine,Cover Me In Sunshine,P!nk
45,Locked out of Heaven,Unorthodox Jukebox,Bruno Mars
46,Stereo Hearts (feat. Adam Levine),The Papercut Chronicles II (Deluxe Edition),Gym Class Heroes
47,Wake Me Up,True,Avicii
48,Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars
49,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,DJ Khaled
50,Something Just Like This,Something Just Like This,The Chainsmokers
51,Waiting For Love,Stories,Avicii
52,Eenie Meenie,Eenie Meenie,Sean Kingston
53,Watermelon Sugar,Fine Line,Harry Styles
54,Night Changes,FOUR (Deluxe),One Direction
55,Say So,Hot Pink,Doja Cat
56,Electric,Electric,Katy Perry
57,Higher Power,Higher Power,Coldplay
58,My Head & My Heart,Heaven & Hell,Ava Max
59,Hold On,Hold On,Justin Bieber
60,Follow You,Follow You / Cutthroat,Imagine Dragons
61,BED,BED,Joel Corry
62,Run,Run,OneRepublic
63,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",34+35 (Remix),Ariana Grande
64,On The Ground,R,ROSÉ
65,Floating Through Space,Floating Through Space,Sia
66,Waves of Blue,Waves of Blue,Majid Jordan
67,Fireworks (feat. Moss Kena & The Knocks),Fireworks (feat. Moss Kena & The Knocks),Purple Disco Machine
68,Titans (feat. Sia & Labrinth),Music Is The Weapon (Reloaded),Major Lazer
69,Lifestyle (feat. Adam Levine),Lifestyle (feat. Adam Levine),Jason Derulo
70,Let’s Go Home Together,Let’s Go Home Together (Luca Schreiner Remix),Ella Henderson
71,Dancing On Dangerous (feat. Sofía Reyes),Dancing On Dangerous (feat. Sofía Reyes),Imanbek
72,Off My Face,Justice,Justin Bieber
73,Girl From Rio,Girl From Rio,Anitta
74,Treat People With Kindness,Fine Line,Harry Styles
75,Medicine,Medicine,James Arthur
76,Starstruck,Starstruck,Years & Years
77,Hey Boy (feat. Burna Boy),Hey Boy (feat. Burna Boy),Sia
78,Deserve You,Justice,Justin Bieber
79,Higher (feat. iann dior),Higher (feat. iann dior),Clean Bandit
