Name,Album,Artist
Heaven,TIM,Avicii
Nobody,Nobody,NOTD
Hero,Hero,Afrojack
Sideways,Sideways,ILLENIUM
Leave A Little Love,Leave A Little Love,Alesso
Problems,Problems,Don Diablo
Higher Love,Higher Love,Kygo
That Feeling (feat. Hayley May),That Feeling (feat. Hayley May),Danny Quest
Stay Mine,Stay Mine,Timmy Trumpet
Used To Be (feat. Wiz Khalifa),Used To Be (feat. Wiz Khalifa),Steve Aoki
Love Tonight - David Guetta Remix Edit,Love Tonight (David Guetta Remix),Shouse
Going Dumb,Going Dumb,Alesso
Best Is Yet To Come (with Kyle Reynolds),Best Is Yet To Come (with Kyle Reynolds),Gryffin
Set Me Free (feat. MAX),Set Me Free (feat. MAX),Oliver Heldens
Letters,Letters To Remember,Lucas & Steve
Turn Back Time,Turn Back Time,Diplo
Memories (feat. Kid Cudi) - 2021 Remix,Memories (feat. Kid Cudi) [2021 Remix],David Guetta
Miles To Go,Miles To Go,Kaskade
Breathe (feat. kaspara),Breathe (feat. kaspara),Syn Cole
The Best,The Best,Hook N Sling
Silver Lining,Silver Lining,Andrew Rayel
Gotta Be You,Gotta Be You,NERVO
Places,Places,Drove
Take Your Time,Take Your Time,ARTY
Pressure (feat. Tove Lo),Pressure (feat. Tove Lo),Martin Garrix
Paradise (feat. Dermot Kennedy),Paradise,MEDUZA
Wish You Were Here (feat. Brandyn Burnette),Wish You Were Here (feat. Brandyn Burnette),Afrojack
Learn To Love Again,Learn To Love Again,Audien
Everything,Everything,3LAU
Lose You,The London Sessions,Tiësto
BED,BED,Joel Corry
By Your Side (feat. Tom Grennan),By Your Side (feat. Tom Grennan),Calvin Harris
42,Say It Like You Feel It,Cash Cash
Anything,Anything,Alison Wonderland
Closer (feat. Lilly Ahlberg),Closer (feat. Lilly Ahlberg),Sonny Fodera
Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),Galantis
Colours,Colours,Mat Zo
Bridged By A Lightwave - Radio Edit,Bridged By A Lightwave,deadmau5
Use Your Love (feat. Goldford),Use Your Love (feat. Goldford),Sam Feldt
The Business,The Business,Tiësto
Around The World (feat. NOUMENN),Around The World (feat. NOUMENN),KSHMR
Close to You (feat. PollyAnna),6OKI - Rave Royale EP,Steve Aoki
Big Love (with Wrabel),Big Love (with Wrabel),Klingande
Coming Over - VIP,Very Important Music,Dillon Francis
Through The Storm,Through The Storm,Don Diablo
We'll Be Dancing Soon,We'll Be Dancing Soon,Dimitri Vegas & Like Mike
Tie Me Down (with Elley Duhé),Gravity,Gryffin
Revolving (feat. Marc E. Bassy) [MOTi Remix],Revolving (feat. Marc E. Bassy) [MOTi Remix],Yung Bae
Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry
Fake A Smile,Fake A Smile,Alan Walker
Distant Memory (with Timmy Trumpet x W&W),Distant Memory (with Timmy Trumpet x W&W),R3HAB
Bad Bitches (feat. Megan Thee Stallion),Bad Bitches (feat. Megan Thee Stallion),Marshmello
Without You,Without You,Mike Williams
Impossible (feat. John Martin),Impossible (feat. John Martin),David Guetta
Yours,DREAMLAND 2021,ZHU
Young Summer,Young Summer,Tungevaag
Flame,Hardwell's Revealed Radio - Week 15,Hardwell
You Used To,You Used To,Nicky Romero
One Night Away,One Night Away,ARTY
Higher Power - Tiësto Remix,Higher Power (Tiësto Remix),Coldplay
Coming Home,Coming Home,Quintino
Wasted Love (feat. Lagique),Wasted Love (feat. Lagique),Ofenbach
Rise,Rise,Lost Frequencies
Echo (with KSHMR),Echo (with KSHMR),Armaan Malik
Rave Love,Rave Love,W&W
Stars Align (with Jolin Tsai),Stars Align (with Jolin Tsai),R3HAB
TOGETHER,PROGRESSO VOL 2,Alesso
Neon Lights,Neon Lights,LODATO
The Logical Song,The Logical Song,MATTN
Sicko Drop,Sicko Drop,KVSH
Home,Home,Maddix
Beautiful,Beautiful,Omnia
Remember the Summer (feat. Karra),Remember the Summer (feat. Karra),Ummet Ozcan
Skydance,Skydance,W&W
Ma Luv,Ma Luv,Oliver Heldens
